Plots,geometry,mid_07_14.tif,scaled_vi,ndre,clusters
304,"list(c(947051.578095946, 947050.9691781, 947052.758682808, 947053.367600683, 947051.578095946, 3647741.2646349, 3647751.9505344, 3647752.05250642, 3647741.36660666, 3647741.2646349))",0.26861757024214755,0.3173709786641335,0.26861757024214755,3.6255679787614232
305,"list(c(947058.822173199, 947058.239476489, 947060.080110004, 947060.662806742, 947058.822173199, 3647742.38662862, 3647752.61237031, 3647752.71725585, 3647742.4915139, 3647742.38662862))",0.2670520717849475,0.30074328519808746,0.2670520717849475,3.5979132854161837
306,"list(c(947066.223513691, 947065.623336031, 947067.361712337, 947067.961890021, 947066.223513691, 3647742.36326973, 3647752.89578496, 3647752.99484354, 3647742.46232805, 3647742.36326973))",0.2466502680792981,0.08404876428574572,0.2466502680792981,3.4186148268533567
307,"list(c(947073.472909007, 947072.88147168, 947074.670976874, 947075.262414229, 947073.472909007, 3647742.96797516, 3647753.34710525, 3647753.44907733, 3647743.06994699, 3647742.96797516))",0.2496109677087514,0.11549536562678664,0.2496109677087514,3.596936936936937
401,"list(c(947028.916619888, 947028.908038801, 947028.906701133, 947028.905452418, 947028.904340664, 947028.903408595, 947028.902692028, 947028.902218513, 947028.900894034, 947028.28887141, 947028.289227807, 947028.28955207, 947028.290131022, 947028.290942408, 947028.291955061, 947028.293130062, 947028.294422274, 947028.30290668, 947030.115816537, 947030.124397612, 947030.125735282, 947030.126983992, 947030.128095748, 947030.129027815, 947030.129744378, 947030.130217893, 947030.131542374, 947030.743565084, 
947030.743208686, 947030.74288442, 947030.742305472, 947030.741494083, 947030.740481426, 947030.739306426, 947030.738014213, 947030.729529797, 947028.916619888, 3647752.46751315, 3647752.46786343, 3647752.46818554, 3647752.46876124, 3647752.4695684, 3647752.47057601, 3647752.47174534, 3647752.47303144, 3647752.48147658, 3647763.22182856, 3647763.23036814, 3647763.23169948, 3647763.2329424, 3647763.23404912, 3647763.23497715, 3647763.2356908, 3647763.23616267, 3647763.23748517, 3647763.34079122, 3647763.34044094, 
3647763.34011884, 3647763.33954314, 3647763.33873597, 3647763.33772837, 3647763.33655905, 3647763.33527294, 3647763.3268278, 3647752.58647557, 3647752.57793596, 3647752.57660462, 3647752.57536171, 3647752.57425498, 3647752.57332696, 3647752.5726133, 3647752.57214143, 3647752.57081893, 3647752.46751315))",0.27653953540750764,0.40151287469250374,0.27653953540750764,3.5438699898955877
402,"list(c(947036.214947356, 947035.629335661, 947037.469968593, 947038.055580313, 947036.214947356, 3647753.37140171, 3647763.64826887, 3647763.75315468, 3647753.47628726, 3647753.37140171))",0.250319771705128,0.12302381480861284,0.250319771705128,3.708913388769504
403,"list(c(947043.464062632, 947042.878450957, 947044.719084053, 947045.304695755, 947043.464062632, 3647753.79507352, 3647764.07194159, 3647764.1768274, 3647753.89995906, 3647753.79507352))",0.2570344162867834,0.1943423468223076,0.2570344162867834,3.8288700800148003
404,"list(c(947050.889210064, 947050.291944316, 947052.081448924, 947052.678714701, 947050.889210064, 3647754.01597888, 3647764.49736298, 3647764.59933531, 3647754.11795095, 3647754.01597888))",0.3106760461789794,0.7640884074232074,0.3106760461789794,3.3549318292845407
405,"list(c(947058.216727913, 947057.634029442, 947059.423534222, 947060.00623272, 947058.216727913, 3647754.5738424, 3647764.79958397, 3647764.90155633, 3647754.67581451, 3647754.5738424))",0.2746997753012839,0.38197215463835454,0.2746997753012839,3.6407153566074104
406,"list(c(947065.489758439, 947064.90997339, 947066.801735786, 947067.381520864, 947065.489758439, 3647755.00185147, 3647765.17646539, 3647765.28426476, 3647755.10965057, 3647755.00185147))",0.2768950373199402,0.4052887818480394,0.2768950373199402,3.6359851796344866
407,"list(c(947072.781815336, 947072.196203133, 947074.139094439, 947074.724706668, 947072.781815336, 3647755.51996698, 3647765.79683936, 3647765.90755225, 3647755.6306796, 3647755.51996698))",0.25530989674775273,0.17602563616741868,0.25530989674775273,3.655746414025146
