Plots,geometry,mid_07_14.tif,scaled_vi,ndre,clusters
101,"list(c(947032.275318132, 947031.686801925, 947033.322920077, 947033.911436309, 947032.275318132, 3647691.79476941, 3647702.12276522, 3647702.21599562, 3647691.88799958, 3647691.79476941))",0.27289815133584616,0.36283649155251557,0.27289815133584616,3.6006637760291205
102,"list(c(947039.527513734, 947038.947737688, 947040.737242098, 947041.317018171, 947039.527513734, 3647692.41319656, 3647702.58780731, 3647702.68977809, 3647692.5151671, 3647692.41319656))",0.2494736494417867,0.11403686144246361,0.2494736494417867,3.8335728952772072
103,"list(c(947046.812057995, 947046.226455044, 947047.964830918, 947048.550433895, 947046.812057995, 3647692.7567245, 3647703.0335936, 3647703.13265094, 3647692.8557816, 3647692.7567245))",0.2542245049397297,0.1644973192972491,0.2542245049397297,3.7908907777723186
104,"list(c(947061.562333257, 947060.962162604, 947062.853925005, 947063.454095684, 947061.562333257, 3647693.40515117, 3647703.93766609, 3647704.04546387, 3647693.51294867, 3647693.40515117))",0.27066290275258686,0.3390951533915548,0.27066290275258686,3.5914247508950523
105,"list(c(947068.88921845, 947068.300701637, 947069.987949366, 947070.576466205, 947068.88921845, 3647693.84292451, 3647704.17092573, 3647704.26706969, 3647693.93906823, 3647693.84292451))",0.2692412797124959,0.3239956098396701,0.2692412797124959,3.699117133279826
106,"list(c(947076.103584834, 947075.500500675, 947077.341134717, 947077.944218905, 947076.103584834, 3647694.16218469, 3647704.74583038, 3647704.85071472, 3647694.26706876, 3647694.16218469))",0.25717398548759596,0.19582475894334087,0.25717398548759596,3.804221658570139
107,"list(c(947083.44476748, 947082.850423475, 947084.639928988, 947085.234273017, 947083.44476748, 3647694.60077281, 3647705.03103346, 3647705.13300438, 3647694.70274347, 3647694.60077281))",0.30635989805739156,0.718245124991508,0.30635989805739156,3.3088682396266003
201,"list(c(947030.264655643, 947030.240427773, 947030.222282916, 947030.205344777, 947030.19026435, 947030.177621273, 947030.167901464, 947030.1614785, 947030.157738964, 947029.572759742, 947029.573766003, 947029.578164364, 947029.586017312, 947029.59702311, 947029.61075886, 947029.626696791, 947029.6442245, 947029.66817938, 947031.242084172, 947031.266312025, 947031.284456864, 947031.301394995, 947031.316475403, 947031.329118474, 947031.33883828, 947031.345261237, 947031.349000777, 947031.93398022, 
947031.932973957, 947031.928575589, 947031.920722634, 947031.909716826, 947031.895981057, 947031.88004311, 947031.862515388, 947031.838560487, 947030.264655643, 3647728.3183638, 3647728.3193528, 3647728.32372205, 3647728.33153115, 3647728.34247996, 3647728.35614766, 3647728.37200895, 3647728.38945419, 3647728.41329828, 3647738.67913278, 3647738.70324344, 3647738.72130188, 3647738.73816091, 3647738.75317274, 3647738.76576056, 3647738.7754407, 3647738.78184119, 3647738.78557512, 3647738.87526125, 3647738.87427227, 
3647738.86990302, 3647738.86209393, 3647738.85114514, 3647738.83747745, 3647738.82161618, 3647738.80417096, 3647738.78032688, 3647728.51449216, 3647728.49038147, 3647728.47232301, 3647728.45546397, 3647728.44045212, 3647728.42786429, 3647728.41818414, 3647728.41178364, 3647728.40804971, 3647728.3183638))",0.268628634425985,0.3174884951372127,0.268628634425985,3.6273589205944026
202,"list(c(947037.478609466, 947036.878433915, 947038.719066914, 947039.319242493, 947037.478609466, 3647728.73292216, 3647739.26543316, 3647739.37031834, 3647728.83780707, 3647728.73292216))",0.2805185076050515,0.4437748965465584,0.2805185076050515,3.5220235862816187
203,"list(c(947044.859449064, 947044.273840848, 947046.012216635, 947046.597824877, 947044.859449064, 3647729.30738878, 3647739.58425737, 3647739.6833156, 3647729.40644676, 3647729.30738878))",0.3058888062552959,0.7132414981635232,0.3058888062552959,3.2712217154496743
204,"list(c(947052.27244553, 947051.681010219, 947053.47051493, 947054.061950266, 947052.27244553, 3647729.50343906, 3647739.88256634, 3647739.98453807, 3647729.60541054, 3647729.50343906))",0.2602544903495367,0.22854385255179213,0.2602544903495367,3.614568180593718
205,"list(c(947059.646634146, 947059.043544842, 947060.781921023, 947061.385010354, 947059.646634146, 3647729.7184637, 3647740.30210688, 3647740.40116516, 3647729.81752172, 3647729.7184637))",0.2680274184668045,0.31110277522150714,0.2680274184668045,3.587400984799829
206,"list(c(947066.932417699, 947066.329328354, 947068.016576006, 947068.619665376, 947066.932417699, 3647730.16076425, 3647740.74440858, 3647740.84055338, 3647730.25690881, 3647730.16076425))",0.2523690252266765,0.1447896359333856,0.2523690252266765,3.667142706019253
207,"list(c(947074.197479399, 947073.600216921, 947075.287464743, 947075.884727245, 947074.197479399, 3647730.72863373, 3647741.21002168, 3647741.3061665, 3647730.8247783, 3647730.72863373))",0.24069756455612792,0.02082306832782491,0.24069756455612792,3.4747654946193243
301,"list(c(947029.488421805, 947028.908639033, 947030.698143134, 947031.277925932, 947029.488421805, 3647740.70450498, 3647750.87911398, 3647750.98108595, 3647740.8064767, 3647740.70450498))",0.25108404817677193,0.13114145608469321,0.25108404817677193,3.6836392070281954
302,"list(c(947036.823634011, 947036.255505009, 947038.096137979, 947038.664267007, 947036.823634011, 3647741.36539501, 3647751.33549022, 3647751.4403757, 3647741.47028024, 3647741.36539501))",0.26449989135957225,0.2736357057635592,0.26449989135957225,3.5938239159001313
303,"list(c(947044.122988236, 947043.51989737, 947045.360530567, 947045.963621459, 947044.122988236, 3647741.09331837, 3647751.6769592, 3647751.78184471, 3647741.1982036, 3647741.09331837))",0.30767426675286214,0.7322054835400171,0.30767426675286214,3.2369942196531793
